City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Belomorsk,RU,2022-11-30 21:12:56,64.5232,34.7668,24.19,97,100,3.71
279,Itoman,JP,2022-11-30 21:12:57,26.1247,127.6694,66.22,82,100,19.57
280,Nolinsk,RU,2022-11-30 21:12:57,57.5596,49.9363,12.09,96,95,3.96
281,Aswan,EG,2022-11-30 21:12:58,24.0934,32.907,69.33,32,66,8.16
282,Yar-Sale,RU,2022-11-30 21:12:58,66.8333,70.8333,-9.8,100,28,4.7
283,Upata,VE,2022-11-30 21:12:59,8.0086,-62.3989,78.19,81,69,4.43
284,Tombouctou,ML,2022-11-30 21:12:59,20.0,-3.0,70.63,17,68,9.4
285,Mozirje,SI,2022-11-30 21:13:00,46.3394,14.9633,38.37,98,100,4.32
286,Albox,ES,2022-11-30 21:13:00,37.3886,-2.1495,48.33,76,100,0.22
287,Montmagny,FR,2022-11-30 21:08:23,48.9734,2.3469,44.96,92,100,6.91
288,San Angelo,US,2022-11-30 21:10:00,31.4638,-100.437,48.6,46,0,12.66
289,Dosso,NE,2022-11-30 21:08:11,13.049,3.1937,75.61,18,67,9.37
290,Uige,AO,2022-11-30 21:13:02,-7.6087,15.0613,67.06,98,100,0.98
291,Los Llanos De Aridane,ES,2022-11-30 21:09:29,28.6585,-17.9182,65.95,73,75,9.22
